bin(3m),avg(netbenchmark)
2019-10-04 18:18:00.000,515.505
2019-10-04 18:15:00.000,572.12
2019-10-04 18:06:00.000,566.789
2019-10-04 17:51:00.000,577.202
2019-10-04 17:36:00.000,671.914
2019-10-04 17:21:00.000,596.884
2019-10-04 17:06:00.000,592.497
2019-10-04 16:51:00.000,523.329
2019-10-04 16:36:00.000,554.608
2019-10-04 16:21:00.000,761.445
2019-10-04 16:06:00.000,593.292
2019-10-04 15:51:00.000,668.278
2019-10-04 15:36:00.000,571.618
2019-10-04 15:21:00.000,576.949
2019-10-04 15:06:00.000,548.605
2019-10-04 14:51:00.000,634.106
2019-10-04 14:36:00.000,627.593
2019-10-04 14:21:00.000,587.004
2019-10-04 14:06:00.000,610.693
2019-10-04 13:51:00.000,618.273
2019-10-04 13:36:00.000,594.917
2019-10-04 13:21:00.000,590.927
2019-10-04 13:06:00.000,587.254
2019-10-04 12:51:00.000,618.249
2019-10-04 12:36:00.000,593.243
2019-10-04 12:21:00.000,576.702
2019-10-04 12:06:00.000,562.349
2019-10-04 11:51:00.000,548.248
2019-10-04 11:36:00.000,772.199
2019-10-04 11:21:00.000,589.172
2019-10-04 11:06:00.000,576.762
2019-10-04 10:51:00.000,601.645
2019-10-04 10:36:00.000,552.744
2019-10-04 10:21:00.000,605.658
2019-10-04 10:06:00.000,595.715
2019-10-04 09:51:00.000,593.8
2019-10-04 09:36:00.000,731.003
2019-10-04 09:21:00.000,572.365
2019-10-04 09:06:00.000,532.732
2019-10-04 08:51:00.000,571.649
2019-10-04 08:36:00.000,521.021
2019-10-04 08:21:00.000,561.415
2019-10-04 08:06:00.000,613.101
2019-10-04 07:51:00.000,595.18
2019-10-04 07:36:00.000,668.549
2019-10-04 07:21:00.000,572.054
2019-10-04 07:06:00.000,563.964
2019-10-04 06:51:00.000,585.927
2019-10-04 06:36:00.000,626.165
2019-10-04 06:21:00.000,586.068
2019-10-04 06:06:00.000,619.26
2019-10-04 05:51:00.000,612.149
2019-10-04 05:36:00.000,600.465
2019-10-04 05:21:00.000,590.424
2019-10-04 05:06:00.000,543.337
2019-10-04 04:51:00.000,599.64
2019-10-04 04:36:00.000,616.481
2019-10-04 04:21:00.000,543.8
2019-10-04 04:06:00.000,630.1
2019-10-04 03:51:00.000,598.537
2019-10-04 03:36:00.000,556.383
2019-10-04 03:21:00.000,592.055
2019-10-04 03:06:00.000,592.569
2019-10-04 02:51:00.000,588.8
2019-10-04 02:36:00.000,658.838
2019-10-04 02:21:00.000,622.158
2019-10-04 02:06:00.000,628.662
2019-10-04 01:51:00.000,578.832
2019-10-04 01:36:00.000,581.018
2019-10-04 01:21:00.000,575.267
2019-10-04 01:06:00.000,613.929
2019-10-04 00:51:00.000,617.662
2019-10-04 00:36:00.000,610.689
2019-10-04 00:21:00.000,628.043
2019-10-04 00:06:00.000,581.743
2019-10-03 23:51:00.000,687.421
2019-10-03 23:36:00.000,567.454
2019-10-03 23:21:00.000,556.8255
2019-10-03 23:06:00.000,589.543
2019-10-03 22:51:00.000,511.573
2019-10-03 22:36:00.000,639.032
2019-10-03 22:21:00.000,631.737
2019-10-03 22:06:00.000,616.979
2019-10-03 21:51:00.000,607.177
2019-10-03 21:36:00.000,596.245
2019-10-03 21:21:00.000,584.515
2019-10-03 21:06:00.000,546.553
2019-10-03 20:51:00.000,662.344
2019-10-03 20:36:00.000,826.049
2019-10-03 20:21:00.000,777.968
2019-10-03 20:06:00.000,600.917
2019-10-03 19:51:00.000,576.695
2019-10-03 19:36:00.000,691.514
2019-10-03 19:21:00.000,758.544
2019-10-03 19:06:00.000,639.792
2019-10-03 18:51:00.000,637.79
2019-10-03 18:36:00.000,617.001
2019-10-03 18:21:00.000,551.937
2019-10-03 18:06:00.000,605.792
2019-10-03 17:51:00.000,751.867
2019-10-03 17:36:00.000,717.582
2019-10-03 17:21:00.000,660.585
2019-10-03 17:06:00.000,603.427
2019-10-03 16:51:00.000,738.405
2019-10-03 16:36:00.000,605.399
2019-10-03 16:21:00.000,620.975
2019-10-03 16:06:00.000,696.993
2019-10-03 15:51:00.000,652.438
2019-10-03 15:36:00.000,652.479
2019-10-03 15:21:00.000,616.474
2019-10-03 15:06:00.000,605.071
2019-10-03 14:51:00.000,640.623
2019-10-03 14:36:00.000,606.604
2019-10-03 14:21:00.000,631.333
2019-10-03 14:06:00.000,668.092
2019-10-03 13:51:00.000,561.513
2019-10-03 13:36:00.000,597.358
2019-10-03 13:21:00.000,679.818
2019-10-03 13:06:00.000,636.198
2019-10-03 12:51:00.000,607.853
2019-10-03 12:36:00.000,578.686
2019-10-03 12:21:00.000,756.981
2019-10-03 12:06:00.000,670.752
2019-10-03 11:51:00.000,619.029
2019-10-03 11:36:00.000,587.237
2019-10-03 11:21:00.000,633.372
2019-10-03 11:06:00.000,594.906
2019-10-03 10:51:00.000,551.738
2019-10-03 10:36:00.000,575.401
2019-10-03 10:21:00.000,662.988
2019-10-03 10:06:00.000,579.636
2019-10-03 09:51:00.000,658.933
2019-10-03 09:36:00.000,627.38
2019-10-03 09:21:00.000,638.233
2019-10-03 09:06:00.000,599.851
2019-10-03 08:51:00.000,671.352
2019-10-03 08:36:00.000,570.489
2019-10-03 08:21:00.000,583.018
2019-10-03 08:06:00.000,617.119
2019-10-03 07:51:00.000,606.549
2019-10-03 07:36:00.000,644.131
2019-10-03 07:21:00.000,578.173
2019-10-03 07:06:00.000,597.306
2019-10-03 06:51:00.000,616.385
2019-10-03 06:36:00.000,714.82
2019-10-03 06:21:00.000,638.956
2019-10-03 06:06:00.000,625.971
2019-10-03 05:51:00.000,594.083
2019-10-03 05:36:00.000,618.818
2019-10-03 05:21:00.000,579.899
2019-10-03 05:06:00.000,641.42
2019-10-03 04:51:00.000,591.042
2019-10-03 04:36:00.000,624.607
2019-10-03 04:21:00.000,585.765
2019-10-03 04:06:00.000,561.872
2019-10-03 03:51:00.000,829.255
2019-10-03 03:36:00.000,619.919
2019-10-03 03:21:00.000,573.157
2019-10-03 03:06:00.000,522.961
2019-10-03 02:54:00.000,512.2685
2019-10-03 02:51:00.000,511.6332
2019-10-03 02:48:00.000,482.383
2019-10-03 02:45:00.000,514.246
2019-10-03 02:42:00.000,501.161
2019-10-03 02:36:00.000,608
2019-10-03 02:21:00.000,634.055
2019-10-03 02:06:00.000,629.352
2019-10-03 01:51:00.000,608.188
2019-10-03 01:36:00.000,625.744
2019-10-03 01:21:00.000,620.339
2019-10-03 01:06:00.000,604.16
2019-10-03 00:51:00.000,659.112
2019-10-03 00:36:00.000,572.485
2019-10-03 00:21:00.000,693.346
2019-10-03 00:06:00.000,601.955
2019-10-02 23:51:00.000,560.888
2019-10-02 23:36:00.000,642.758
2019-10-02 23:21:00.000,619.416
2019-10-02 23:06:00.000,645.18
2019-10-02 22:51:00.000,629.114
2019-10-02 21:33:00.000,491.1925
2019-10-02 21:30:00.000,500.9128
2019-10-02 21:27:00.000,511.791
2019-10-02 21:24:00.000,521.8197
