bin(3m),avg(netbenchmark)
2019-10-04 18:18:00.000,510.247
2019-10-04 18:15:00.000,585.35
2019-10-04 18:06:00.000,777.431
2019-10-04 17:51:00.000,622.699
2019-10-04 17:36:00.000,601.847
2019-10-04 17:21:00.000,555.584
2019-10-04 17:06:00.000,595.266
2019-10-04 16:51:00.000,1002.817
2019-10-04 16:36:00.000,739.968
2019-10-04 16:21:00.000,644.12
2019-10-04 16:06:00.000,591.791
2019-10-04 15:51:00.000,795.764
2019-10-04 15:36:00.000,732.04
2019-10-04 15:21:00.000,924.799
2019-10-04 15:06:00.000,591.832
2019-10-04 14:51:00.000,628.616
2019-10-04 14:36:00.000,659.325
2019-10-04 14:21:00.000,723.845
2019-10-04 14:06:00.000,710.529
2019-10-04 13:51:00.000,604.481
2019-10-04 13:36:00.000,738.884
2019-10-04 13:21:00.000,840.844
2019-10-04 13:06:00.000,917.002
2019-10-04 12:51:00.000,575.586
2019-10-04 12:36:00.000,555.13
2019-10-04 12:21:00.000,777.227
2019-10-04 12:06:00.000,656.435
2019-10-04 11:51:00.000,643.319
2019-10-04 11:36:00.000,741.174
2019-10-04 11:21:00.000,625.122
2019-10-04 11:06:00.000,667.65
2019-10-04 10:51:00.000,790.262
2019-10-04 10:36:00.000,750.527
2019-10-04 10:21:00.000,613.421
2019-10-04 10:06:00.000,705.845
2019-10-04 09:51:00.000,647.64
2019-10-04 09:36:00.000,757.886
2019-10-04 09:21:00.000,718.169
2019-10-04 09:06:00.000,940.887
2019-10-04 08:51:00.000,588.55
2019-10-04 08:36:00.000,634.85
2019-10-04 08:21:00.000,582.753
2019-10-04 08:06:00.000,960.709
2019-10-04 07:51:00.000,704.141
2019-10-04 07:36:00.000,693.461
2019-10-04 07:21:00.000,660.135
2019-10-04 07:06:00.000,734.537
2019-10-04 06:51:00.000,567.955
2019-10-04 06:36:00.000,603.577
2019-10-04 06:21:00.000,583.451
2019-10-04 06:06:00.000,594.659
2019-10-04 05:51:00.000,652.672
2019-10-04 05:36:00.000,620.132
2019-10-04 05:21:00.000,690.005
2019-10-04 05:06:00.000,819.72
2019-10-04 04:51:00.000,699.762
2019-10-04 04:36:00.000,765.135
2019-10-04 04:21:00.000,620.624
2019-10-04 04:06:00.000,597.353
2019-10-04 03:51:00.000,596.655
2019-10-04 03:36:00.000,613.664
2019-10-04 03:21:00.000,656.329
2019-10-04 03:06:00.000,644.538
2019-10-04 02:51:00.000,901.874
2019-10-04 02:36:00.000,603.794
2019-10-04 02:21:00.000,892.516
2019-10-04 02:06:00.000,1127.53
2019-10-04 01:51:00.000,719.75
2019-10-04 01:36:00.000,579.757
2019-10-04 01:21:00.000,840.085
2019-10-04 01:06:00.000,623.02
2019-10-04 00:51:00.000,603.096
2019-10-04 00:36:00.000,657.842
