bin(3m),avg(@duration)
2019-10-04 18:18:00.000,19026.37
2019-10-04 18:15:00.000,18784.95
2019-10-04 18:06:00.000,18815.9
2019-10-04 17:51:00.000,18758.8
2019-10-04 17:36:00.000,18227.89
2019-10-04 17:21:00.000,15780.81
2019-10-04 17:06:00.000,17941.86
2019-10-04 16:51:00.000,19021.4
2019-10-04 16:36:00.000,17660.83
2019-10-04 16:21:00.000,18266.7
2019-10-04 16:06:00.000,17552.67
2019-10-04 15:51:00.000,14548.97
2019-10-04 15:36:00.000,17697.83
2019-10-04 15:21:00.000,18678.03
2019-10-04 15:06:00.000,18519.05
2019-10-04 14:51:00.000,18165.13
2019-10-04 14:36:00.000,18019.73
2019-10-04 14:21:00.000,17231.9
2019-10-04 14:06:00.000,17216.01
2019-10-04 13:51:00.000,17041.82
2019-10-04 13:36:00.000,18069.74
2019-10-04 13:21:00.000,17948.56
2019-10-04 13:06:00.000,17853.04
2019-10-04 12:51:00.000,16893.65
2019-10-04 12:36:00.000,16882.34
2019-10-04 12:21:00.000,16436.27
2019-10-04 12:06:00.000,17139.15
2019-10-04 11:51:00.000,17381.65
2019-10-04 11:36:00.000,16677.05
2019-10-04 11:21:00.000,17142.71
2019-10-04 11:06:00.000,18066.51
2019-10-04 10:51:00.000,16849.45
2019-10-04 10:36:00.000,17737.57
2019-10-04 10:21:00.000,16277.63
2019-10-04 10:06:00.000,17302.68
2019-10-04 09:51:00.000,17068.56
2019-10-04 09:36:00.000,17400.53
2019-10-04 09:21:00.000,17899.53
2019-10-04 09:06:00.000,18006.8
2019-10-04 08:51:00.000,17781.15
2019-10-04 08:36:00.000,16779.16
2019-10-04 08:21:00.000,16172.39
2019-10-04 08:06:00.000,16808.56
2019-10-04 07:51:00.000,17546.92
2019-10-04 07:36:00.000,17184.6
2019-10-04 07:21:00.000,15986.36
2019-10-04 07:06:00.000,15720.22
2019-10-04 06:51:00.000,17286.76
2019-10-04 06:36:00.000,16201.81
2019-10-04 06:21:00.000,17233.9
2019-10-04 06:06:00.000,16708.4
2019-10-04 05:51:00.000,17712.87
2019-10-04 05:36:00.000,16805.23
2019-10-04 05:21:00.000,17572.84
2019-10-04 05:06:00.000,17971.43
2019-10-04 04:51:00.000,17713.22
2019-10-04 04:36:00.000,17478.29
2019-10-04 04:21:00.000,17241.53
2019-10-04 04:06:00.000,17190.25
2019-10-04 03:51:00.000,18327.15
2019-10-04 03:36:00.000,17474.5
2019-10-04 03:21:00.000,18384.99
2019-10-04 03:06:00.000,17776.46
2019-10-04 02:51:00.000,17219.75
2019-10-04 02:36:00.000,17385.2
2019-10-04 02:21:00.000,18710.7
2019-10-04 02:06:00.000,18568.98
2019-10-04 01:51:00.000,19404.57
2019-10-04 01:36:00.000,18502.34
2019-10-04 01:21:00.000,18437.95
2019-10-04 01:06:00.000,17963.83
2019-10-04 00:51:00.000,17008.78
2019-10-04 00:36:00.000,16459.72
2019-10-04 00:21:00.000,17857.99
2019-10-04 00:06:00.000,18414.21
2019-10-03 23:51:00.000,17879.11
2019-10-03 23:36:00.000,18244.9
2019-10-03 23:21:00.000,17235.465
2019-10-03 23:06:00.000,14163.95
2019-10-03 22:51:00.000,17390.03
2019-10-03 22:36:00.000,17766.36
2019-10-03 22:21:00.000,20257.57
2019-10-03 22:06:00.000,17173.93
2019-10-03 21:51:00.000,18350.78
2019-10-03 21:36:00.000,18034.87
2019-10-03 21:21:00.000,18466.02
2019-10-03 21:06:00.000,18257
2019-10-03 20:51:00.000,16120.38
2019-10-03 20:36:00.000,18380.05
2019-10-03 20:21:00.000,19579.72
2019-10-03 20:06:00.000,18650.19
2019-10-03 19:51:00.000,18708.99
2019-10-03 19:36:00.000,18043.93
2019-10-03 19:21:00.000,20364.37
2019-10-03 19:06:00.000,18476.97
2019-10-03 18:51:00.000,18715.32
2019-10-03 18:36:00.000,18490.24
2019-10-03 18:21:00.000,18363.46
2019-10-03 18:06:00.000,18276.51
2019-10-03 17:51:00.000,17869.14
2019-10-03 17:36:00.000,18849.14
2019-10-03 17:21:00.000,18469.58
2019-10-03 17:06:00.000,18307.74
2019-10-03 16:51:00.000,17194.55
2019-10-03 16:36:00.000,18253.91
2019-10-03 16:21:00.000,18514.86
2019-10-03 16:06:00.000,18261.73
2019-10-03 15:51:00.000,18307.97
2019-10-03 15:36:00.000,18437.41
2019-10-03 15:21:00.000,18049.07
2019-10-03 15:06:00.000,17956.8
2019-10-03 14:51:00.000,19052.98
2019-10-03 14:36:00.000,18205.17
2019-10-03 14:21:00.000,16929.14
2019-10-03 14:06:00.000,17613.12
2019-10-03 13:51:00.000,18292.04
2019-10-03 13:36:00.000,17887.24
2019-10-03 13:21:00.000,17900.24
2019-10-03 13:06:00.000,18261.72
2019-10-03 12:51:00.000,18265.78
2019-10-03 12:36:00.000,17396.02
2019-10-03 12:21:00.000,17868.04
2019-10-03 12:06:00.000,17190.21
2019-10-03 11:51:00.000,16889.67
2019-10-03 11:36:00.000,17694.2
2019-10-03 11:21:00.000,15864.48
2019-10-03 11:06:00.000,18552.14
2019-10-03 10:51:00.000,17628.52
2019-10-03 10:36:00.000,17492.29
2019-10-03 10:21:00.000,17234.92
2019-10-03 10:06:00.000,16436.31
2019-10-03 09:51:00.000,17101.16
2019-10-03 09:36:00.000,16457.6
2019-10-03 09:21:00.000,17913.74
2019-10-03 09:06:00.000,18175.75
2019-10-03 08:51:00.000,17145.05
2019-10-03 08:36:00.000,16815.67
2019-10-03 08:21:00.000,17235.23
2019-10-03 08:06:00.000,16345.39
2019-10-03 07:51:00.000,16242.77
2019-10-03 07:36:00.000,17432.91
2019-10-03 07:21:00.000,17706.61
2019-10-03 07:06:00.000,18081.29
2019-10-03 06:51:00.000,16134.93
2019-10-03 06:36:00.000,17850.7
